timestamp,year,month,day,hour,minute,second,latitude,longitude,altitude_msl,altitude_ellipsoid,horizontal_accuracy,vertical_accuracy,fix_type,carrier_solution,num_satellites,pDOP,speed_2d,heading,vel_north,vel_east,vel_down,flags,source
90.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
91.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
92.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
93.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
94.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
95.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
96.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
97.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
98.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
99.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
100.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
101.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
102.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
103.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
104.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
105.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
106.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
107.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
108.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.384,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
109.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
110.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
111.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
112.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
113.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
114.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
115.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
116.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
117.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
118.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
119.0,2020,3,22,0,1,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
120.0,2020,3,22,0,2,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
121.0,2020,3,22,0,2,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
122.0,2020,3,22,0,2,0,0.0,0.0,-17.0,0.0,4294967.295,3750000.64,0,0,0,0.9998999999999999,0.0,0.0,0.0,0.0,0.0,0,PVT
